msp_name	species	genus	family	order	class	phylum	superkingdom	knowledge
msp_1597	unclassified Bacilli RF39 CAG-1000 CAG-628	Bacilli RF39 CAG-1000 CAG-628	Bacilli RF39 CAG-1000	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_1598	unclassified Clostridiales 1i	unclassified Clostridiales 1i	Clostridiales 1i	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1599	Streptococcus koreensis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	unknown
msp_1600	unclassified Porphyromonas	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1601	unclassified Clostridium	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1603c	Atopobium parvulum 2	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	unknown
msp_1604	unclassified Tyzzerella	Tyzzerella	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1605	unclassified Oscillospirales	unclassified Oscillospirales	unclassified Oscillospirales	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1606c	Olsenella sp. KH3B4	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	unknown
msp_1607c	unclassified Olsenella	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	unknown
msp_1608c	[Clostridium] sp. 2789STDY5608831	unclassified Lachnospiraceae H	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1609c	unclassified Oscillospirales 2	unclassified Oscillospirales 2	Oscillospirales 2	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1610	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1611	unclassified Ruminococcaceae	unclassified Ruminococcaceae	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1612	unclassified Clostridiales 2e	unclassified Clostridiales 2e	Clostridiales 2e	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1613	unclassified Anaerovibrio	Anaerovibrio	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	unknown
msp_1614	unclassified Lachnospiraceae C EuR	Lachnospiraceae C EuR	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1616	unclassified Clostridiales 1i	unclassified Clostridiales 1i	Clostridiales 1i	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1617	unclassified Mediterraneibacter	Mediterraneibacter	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1618	Alistipes megaguti	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1621	unclassified Monoglobales 1	unclassified Monoglobales 1	unclassified Monoglobales 1	Monoglobales	Clostridia	Firmicutes	Bacteria	unknown
msp_1622	[Clostridium] sp. 2789STDY5608793	Lachnoclostridium 2	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1623	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
